Year,Urbanization
1946.165995262022, 34.17475067901079
1946.5644166586878, 34.506297930173304
1946.9628592756353, 34.853925439149705
1947.3611745708931, 35.10507140124282
1947.7593519343209, 35.25169568754572
1948.1574125861998, 35.30987855587229
1948.5555687293459, 35.44042258436131
1948.9536930420697, 35.54684622612951
1949.3518810156381, 35.701510641339354
1949.750153870333, 35.920496087804715
1950.1489360117855, 36.525407721803184
1950.5485881847824, 37.78960992617072
1950.9482827983425, 39.08597264616601
1951.3471179904989, 39.731084924699175
1951.7454438958976, 39.990271015699236
1952.143631869466, 40.14493543090908
1952.5417243517675, 40.22723868595646
1952.939753173224, 40.2613011675622
1953.3378880960886, 40.375764938237346
1953.7361609507834, 40.59475038470271
1954.135091634207, 41.312223823398334
1954.5343830624172, 42.30306164492991
1954.9334622878116, 43.1330968883227
1955.33205344673, 43.59328620199626
1955.7303369115655, 43.82031177736855
1956.1285142749932, 43.966936063671454
1956.526723468843, 44.137680736695174
1956.9250705945235, 44.41294708550911
1957.3236087027378, 44.83293575464797
1957.7222104717969, 45.30116519722846
1958.1208122408561, 45.76939463980895
1958.5193821794928, 46.21350369566863
1958.9179627282704, 46.66565288043524
1959.316490226344, 47.07760142066716
1959.7149646737137, 47.44934931636437
1960.1132375284085, 47.66833476282973
1960.5113406208507, 47.75867814678406
1960.909486153856, 47.881182046366135
1961.307493755031, 47.899164270157996
1961.7056392880363, 48.02166816974008
1962.1036787196338, 48.06377078025277
1962.5017181512312, 48.10587339076546
1962.8997788031102, 48.16405625909202
1963.2978712854117, 48.2463595141394
1963.695868276446, 48.256301609024334
1964.094024419592, 48.386845637513346
1964.4921699525974, 48.50934953709543
1964.8903685363066, 48.67205408121222
1965.2885777301567, 48.842798754235936
1965.686776313866, 49.005503298352714
1966.0849961178567, 49.184288100283375
1966.4832053117068, 49.3550327733071
1966.881403895416, 49.51773731742388
1967.2796024791253, 49.680441861540665
1967.6779071642422, 49.92354769472684
1968.0762542899226, 50.19881404354078
1968.4746120257437, 50.482120521261656
1968.872948541283, 50.74934674116866
1969.271401768371, 51.105014379051994
1969.6699292664448, 51.516962919283905
1970.0684249340961, 51.904791072795
1970.4668781611842, 52.26045871067834
1970.8652571172868, 52.559845446213096
1971.2633283793066, 52.6260684434466
1971.6606993720345, 52.161642932822076
1972.0583250081413, 51.89018051596411
1972.4571283698754, 52.51117240777646
1972.856250035833, 53.373368166797
1973.2547350933435, 53.75315619140116
1973.652732084378, 53.76309828628609
1974.0505274827372, 53.62027793193916
1974.4487685070096, 53.81514299168369
1974.8472960050833, 54.22709153191561
1975.2459826552686, 54.75964200575162
1975.6447647967211, 55.36455363975009
1976.0436318193, 56.03378630500408
1976.4422123680774, 56.48593548977069
1976.8404640024905, 56.688840678422174
1977.2385670949327, 56.7791840623765
1977.6364261541369, 56.684604481471204
1978.034338264045, 56.630225545100615
1978.4323564753608, 56.65624789779942
1978.8306293300554, 56.87523334426478
1979.2290188962988, 57.18266020870647
1979.627472123387, 57.53832784658981
1980.025925350475, 57.893995484473145
1980.4243785775632, 58.24966312235649
1980.8227363133842, 58.532969600077365
1981.2209667275158, 58.71979453091496
1981.6190379895356, 58.78601752814847
1982.0171729124002, 58.90048129882361
1982.4152229541385, 58.950624038243234
1982.813262385736, 58.99272664875592
1983.2113124274742, 59.042869388175546
1983.6093518590717, 59.084971998688225
1984.0074019008098, 59.13511473810785
1984.4053882817034, 59.13701670408584
1984.8034383234417, 59.187159443505465
1985.2015414158839, 59.277502827459784
1985.599686948889, 59.40000672704187
1985.9979279731615, 59.594871786786406
1986.396168997434, 59.78973684653095
1986.7944100217062, 59.984601906275486
1987.192682876401, 60.203587352740854
1987.5909026803918, 60.382372154671515
1987.9891437046642, 60.57723721441605
1988.3873528985143, 60.74798188743977
1988.7855514822236, 60.910686431556556
1989.183643964525, 60.99298968660394
1989.5816621758408, 61.019012039302744
1989.9796485567342, 61.02091400528073
1990.3776349376278, 61.022815971258716
1990.7756213185214, 61.0247179372367
1991.1736076994148, 61.02661990321469
1991.5715940803084, 61.02852186919267
1991.969580461202, 61.03042383517066
1992.3675668420954, 61.032325801148644
1992.765553222989, 61.03422776712663
1993.1635396038823, 61.036129733104616
1993.561525984776, 61.0380316990826
1993.9595123656695, 61.03993366506059
1994.357498746563, 61.04183563103857
1994.7554851274565, 61.04373759701656
1995.15347150835, 61.045639562994545
1995.5514578892435, 61.04754152897253
1995.949444270137, 61.049443494950516
1996.3474306510307, 61.0513454609285
1996.745417031924, 61.05324742690649
1997.1434034128176, 61.05514939288447
1997.5413897937112, 61.05705135886246
1997.9393761746046, 61.058953324840445
1998.3373625554982, 61.06085529081843
1998.7353489363918, 61.06275725679642
1999.1333353172852, 61.0646592227744
1999.5313216981788, 61.06656118875239
1999.9293080790721, 61.068463154730374
2000.3272944599657, 61.07036512070836
2000.7252808408593, 61.072267086686345
2001.1232672217527, 61.07416905266433
2001.5212536026463, 61.07607101864232
2001.91923998354, 61.0779729846203
2002.3172263644333, 61.07987495059829
2002.71525518589, 61.11393743220403
2003.113315837769, 61.172120300530594
2003.5113022186626, 61.17402226650858
2003.909288599556, 61.175924232486565
2004.3072749804496, 61.17782619846455
2004.7052613613432, 61.17972816444254
2005.1032477422366, 61.18163013042052
2005.5012341231302, 61.18353209639851
2005.8991674533197, 61.1452334178418
2006.2970901733686, 61.098894610378146
2006.6949704528542, 61.02039528728673
2007.0929356134661, 61.00621699545084
2007.490762842248, 60.88751702782473
2007.8886855622966, 60.84117822036107
2008.286576451923, 60.7707190261766
